BOUT_NR;BOUT_BUURT;BOUT_XCOORD;BOUT_YCOORD;BOUT_HOOGTENAP;BOUT_ZAKKINGCUM;BOUT_DATUM;BOUT_BLOKZIJDE;BOUT_EIGENAAR;BOUT_BEVEILIGD;BOUT_DEELRAAD;BOUT_ADRES;BOUT_LOCATIE;BOUT_ZAKSNELH;BOUT_STATUS;BOUT_BLOKNR;BOUT_BLOKEENH;MSLINK;MAPID
"12882121";;121229,8;485359,7;0,6158;;"20150925";2;;;"K";"Albert Cuypstraat 96/98";;;"A";"AK23 ";2;14416;
"12882120";;121224,4;485358,1;1,4644;;"20150925";2;;;"K";"Albert Cuypstraat 94/96";;;"A";"AK23 ";2;14417;
"25281095";;120990;489140;2,3754;40,9999999999999;"19881001";1;;;"E";"Barentszstraat 122/128";;3,0684847242157;"V";"CG09 ";1;3445;20
"25281096";;120985;489142;2,2794;47,6000000000001;"19881001";1;;;"E";"Barentszstraat 130/136";;3,56243592372361;"V";"CG09 ";1;3446;20
"25281099";;120972;489155;2,2104;84,4999999999998;"19881001";3;;;"E";"Van Linschotenstraat 49/53";;3,3032558637678;"A";"CG09 ";3;3449;20
"12882086";;120934,3;485280,2;1,2512;3,80000000000003;"20111125";4;;;"K";"Ruysdaelkade 119";;0,978828510938609;"A";"AK14 ";4;14204;
"12181131";;122333;485670;0,698;1,40000000000007;"19970124";2;;"N";"M";"Swammerdamstraat 33";;1,30690537084405;"A";"AM06 ";2;185;344
"12281000";;122426;485506;1,5709;16,1;"19920301";2;;"N";"M";"Blasiusstraat 42";;1,54522745201157;"A";"AM11 ";2;186;344
"12281001";;122421;485573;1,7117;17,7;"19920301";2;;"N";"M";"Ruyschstraat 30";;1,698790428609;"A";"AM10 ";2;187;344
"12281002";;122469;485592;1,5277;10,1;"19920301";2;;"N";"M";"Ruyschstraat 48";;0,969366289771233;"A";"AM10 ";2;188;344
"12281004";;122461;485611;1,1777;10,3;"19920301";2;;"N";"M";"Ruyschstraat 45";;0,988561661845909;"A";"AM08 ";2;190;344
"11081063";;118837;486287;1,0324;4,79999999999992;"19930515";1;;;"E";"Crynssenstraat 62/64";;1,24167257264349;"V";"BF15 ";1;1431;16
"11081064";;118837;486294;1,0871;4,8999999999999;"19930515";1;;;"E";"Crynssenstraat 66";;1,26754075124023;"V";"BF15 ";1;1432;16
"11081065";;119127;486920;1,2635;1,00000000000011;"19930515";3;;;"E";"Van Speijkstraat 92";;0,0927337398374087;"A";"BC27 ";3;1433;16
"12981715";;121520;485475;1,6329;21,3000000000001;"19980603";3;;;"K";;;1,22163733500943;"A";"AK30 ";1;12475;345
"12981716";;121540;485484;0,6676;22,6;"19980603";3;;;"K";;;1,29619736015085;"A";"AK30 ";1;12476;345
"12981718";;121495;485443;1,0636;28;"19980603";3;;;"K";;;2,67049908544552;"A";"AK31 ";3;12478;345
"12981719";;121504;485447;0,8403;16,0;"19980603";3;;;"K";;;1,53553697413117;"A";"AK31 ";3;12479;345
"12981720";;121513;485451;1,5043;;"19980603";3;;;"K";;;;"V";"AK31 ";3;12480;345
